#  UTC   F_ce_eq_TS04D(kHz)   F_ce_eq_dipole(kHz)
2014-08-01T00:00:00  9.8571   9.8569 
2014-08-01T00:05:00  10.518   10.518 
2014-08-01T00:10:00  11.314   11.315 
2014-08-01T00:15:00  12.240   12.240 
2014-08-01T00:20:00  13.283   13.284 
2014-08-01T00:25:00  14.477   14.478 
2014-08-01T00:30:00  15.891   15.897 
2014-08-01T00:35:00  17.506   17.518 
2014-08-01T00:40:00  19.480   19.495 
2014-08-01T00:45:00  21.872   21.901 
2014-08-01T00:50:00  24.752   24.796 
2014-08-01T00:55:00  28.318   28.388 
2014-08-01T01:00:00  32.769   32.885 
2014-08-01T01:05:00  38.462   38.650 
2014-08-01T01:10:00  45.857   46.166 
2014-08-01T01:15:00  55.596   56.115 
2014-08-01T01:20:00  68.676   69.560 
2014-08-01T01:25:00  86.684   88.236 
2014-08-01T01:30:00  112.10   114.85 
2014-08-01T01:35:00  148.84   153.67 
2014-08-01T01:40:00  202.85   210.96 
2014-08-01T01:45:00  282.64   294.85 
2014-08-01T01:50:00  395.10   410.85 
2014-08-01T01:55:00  524.63   539.84 
2014-08-01T02:00:00  607.29   611.97 
2014-08-01T02:05:00  560.80   560.70 
2014-08-01T02:10:00  410.21   425.60 
2014-08-01T02:15:00  294.02   298.19 
2014-08-01T02:20:00  211.46   206.79 
2014-08-01T02:25:00  153.15   146.59 
2014-08-01T02:30:00  113.41   107.25 
2014-08-01T02:35:00  86.129   80.959 
2014-08-01T02:40:00  67.037   62.891 
2014-08-01T02:45:00  53.354   50.090 
2014-08-01T02:50:00  43.353   40.806 
2014-08-01T02:55:00  35.927   33.942 
2014-08-01T03:00:00  30.234   28.704 
2014-08-01T03:05:00  25.796   24.607 
2014-08-01T03:10:00  22.295   21.376 
2014-08-01T03:15:00  19.468   18.770 
2014-08-01T03:20:00  17.186   16.659 
2014-08-01T03:25:00  15.326   14.930 
2014-08-01T03:30:00  13.767   13.468 
2014-08-01T03:35:00  12.421   12.243 
2014-08-01T03:40:00  11.323   11.199 
2014-08-01T03:45:00  10.405   10.302 
2014-08-01T03:50:00  9.5856   9.5330 
2014-08-01T03:55:00  8.8747   8.8864 
2014-08-01T04:00:00  8.2517   8.2931 
2014-08-01T04:05:00  7.6759   7.7677 
2014-08-01T04:10:00  7.1036   7.2799 
2014-08-01T04:15:00  6.7350   6.8873 
2014-08-01T04:20:00  6.3780   6.5463 
2014-08-01T04:25:00  6.0466   6.2308 
2014-08-01T04:30:00  5.7804   5.9787 
2014-08-01T04:35:00  5.5102   5.7187 
2014-08-01T04:40:00  5.2302   5.4887 
2014-08-01T04:45:00  5.0935   5.2939 
2014-08-01T04:50:00  4.9215   5.1189 
2014-08-01T04:55:00  4.7769   4.9692 
2014-08-01T05:00:00  4.6431   4.8260 
2014-08-01T05:05:00  4.4991   4.6831 
2014-08-01T05:10:00  4.3607   4.5463 
2014-08-01T05:15:00  4.2543   4.4364 
2014-08-01T05:20:00  4.1757   4.3461 
2014-08-01T05:25:00  4.1996   4.2398 
2014-08-01T05:30:00  4.0713   4.1654 
2014-08-01T05:35:00  4.0184   4.0956 
2014-08-01T05:40:00  3.9481   4.0260 
2014-08-01T05:45:00  3.8878   3.9537 
2014-08-01T05:50:00  3.8640   3.9026 
2014-08-01T05:55:00  3.8087   3.8277 
2014-08-01T06:00:00  3.7561   3.7852 
2014-08-01T06:05:00  3.7265   3.7400 
2014-08-01T06:10:00  3.7208   3.7207 
2014-08-01T06:15:00  3.6669   3.7123 
2014-08-01T06:20:00  3.6553   3.7033 
2014-08-01T06:25:00  3.6745   3.7000 
2014-08-01T06:30:00  3.7302   3.7025 
2014-08-01T06:35:00  3.7060   3.7023 
2014-08-01T06:40:00  3.7211   3.7040 
2014-08-01T06:45:00  3.7678   3.7374 
2014-08-01T06:50:00  3.7416   3.7632 
2014-08-01T06:55:00  3.7400   3.7895 
2014-08-01T07:00:00  3.8257   3.8322 
2014-08-01T07:05:00  3.8880   3.8468 
2014-08-01T07:10:00  3.9640   3.8912 
2014-08-01T07:15:00  4.0929   3.9626 
2014-08-01T07:20:00  4.2038   4.0132 
2014-08-01T07:25:00  3.9894   4.0343 
2014-08-01T07:30:00  4.0592   4.0516 
2014-08-01T07:35:00  4.1092   4.1359 
2014-08-01T07:40:00  4.2267   4.2174 
2014-08-01T07:45:00  4.2853   4.3084 
2014-08-01T07:50:00  4.3806   4.3990 
2014-08-01T07:55:00  4.5076   4.5041 
2014-08-01T08:00:00  4.6422   4.6398 
2014-08-01T08:05:00  4.7844   4.7651 
2014-08-01T08:10:00  4.9689   4.9375 
2014-08-01T08:15:00  5.1120   5.1109 
2014-08-01T08:20:00  5.4160   5.2944 
2014-08-01T08:25:00  5.6038   5.5169 
2014-08-01T08:30:00  5.8493   5.7653 
2014-08-01T08:35:00  6.2752   6.0230 
2014-08-01T08:40:00  6.3904   6.3182 
2014-08-01T08:45:00  6.7416   6.6611 
2014-08-01T08:50:00  7.1877   7.0398 
2014-08-01T08:55:00  7.6251   7.4466 
2014-08-01T09:00:00  8.1048   7.9205 
2014-08-01T09:05:00  8.6580   8.4674 
2014-08-01T09:10:00  9.3842   9.1108 
2014-08-01T09:15:00  10.152   9.8392 
2014-08-01T09:20:00  11.050   10.708 
2014-08-01T09:25:00  12.119   11.707 
2014-08-01T09:30:00  13.379   12.884 
2014-08-01T09:35:00  14.905   14.324 
2014-08-01T09:40:00  16.688   16.014 
2014-08-01T09:45:00  18.932   18.097 
2014-08-01T09:50:00  21.717   20.713 
2014-08-01T09:55:00  25.072   23.969 
2014-08-01T10:00:00  29.411   28.138 
2014-08-01T10:05:00  34.921   33.539 
2014-08-01T10:10:00  42.141   40.714 
2014-08-01T10:15:00  51.722   50.407 
2014-08-01T10:20:00  64.742   63.839 
2014-08-01T10:25:00  82.871   82.867 
2014-08-01T10:30:00  108.87   110.43 
2014-08-01T10:35:00  147.11   150.69 
2014-08-01T10:40:00  204.62   209.18 
2014-08-01T10:45:00  290.20   291.74 
2014-08-01T10:50:00  402.64   400.93 
2014-08-01T10:55:00  508.11   513.86 
2014-08-01T11:00:00  562.21   560.73 
2014-08-01T11:05:00  512.46   534.67 
2014-08-01T11:10:00  413.63   447.75 
2014-08-01T11:15:00  315.63   336.58 
2014-08-01T11:20:00  231.59   240.82 
2014-08-01T11:25:00  168.43   171.32 
2014-08-01T11:30:00  123.85   123.97 
2014-08-01T11:35:00  92.823   92.003 
2014-08-01T11:40:00  71.031   70.076 
2014-08-01T11:45:00  55.573   54.782 
2014-08-01T11:50:00  44.315   43.804 
2014-08-01T11:55:00  36.062   35.820 
2014-08-01T12:00:00  29.819   29.800 
2014-08-01T12:05:00  24.996   25.195 
2014-08-01T12:10:00  21.232   21.624 
2014-08-01T12:15:00  18.291   18.783 
2014-08-01T12:20:00  15.944   16.517 
2014-08-01T12:25:00  14.066   14.667 
2014-08-01T12:30:00  12.480   13.134 
2014-08-01T12:35:00  11.160   11.876 
2014-08-01T12:40:00  10.046   10.783 
2014-08-01T12:45:00  9.1495   9.8868 
2014-08-01T12:50:00  8.3876   9.0970 
2014-08-01T12:55:00  7.7119   8.4159 
2014-08-01T13:00:00  7.0995   7.8202 
2014-08-01T13:05:00  6.5520   7.3264 
2014-08-01T13:10:00  6.1292   6.9014 
2014-08-01T13:15:00  5.7659   6.5224 
2014-08-01T13:20:00  5.4190   6.1753 
2014-08-01T13:25:00  5.0967   5.8392 
2014-08-01T13:30:00  4.8061   5.5555 
2014-08-01T13:35:00  4.5034   5.3090 
2014-08-01T13:40:00  4.3267   5.1067 
2014-08-01T13:45:00  4.1542   4.9149 
2014-08-01T13:50:00  4.0125   4.7510 
2014-08-01T13:55:00  3.9147   4.6111 
2014-08-01T14:00:00  3.6950   4.4636 
2014-08-01T14:05:00  3.6198   4.3493 
2014-08-01T14:10:00  3.5752   4.2290 
2014-08-01T14:15:00  3.5042   4.1211 
2014-08-01T14:20:00  3.4354   4.0295 
2014-08-01T14:25:00  3.3665   3.9447 
2014-08-01T14:30:00  3.3461   3.8760 
2014-08-01T14:35:00  3.2580   3.8151 
2014-08-01T14:40:00  3.2727   3.7606 
2014-08-01T14:45:00  3.1094   3.7012 
2014-08-01T14:50:00  3.0156   3.6266 
2014-08-01T14:55:00  3.0944   3.5912 
2014-08-01T15:00:00  2.9628   3.5607 
2014-08-01T15:05:00  2.9619   3.5307 
2014-08-01T15:10:00  2.9676   3.5093 
2014-08-01T15:15:00  2.9622   3.5074 
2014-08-01T15:20:00  2.9583   3.4849 
2014-08-01T15:25:00  2.9296   3.4994 
2014-08-01T15:30:00  2.9768   3.4868 
2014-08-01T15:35:00  2.9599   3.4917 
2014-08-01T15:40:00  2.9987   3.5160 
2014-08-01T15:45:00  3.0543   3.5504 
2014-08-01T15:50:00  3.1130   3.5836 
2014-08-01T15:55:00  3.1608   3.6331 
2014-08-01T16:00:00  3.1912   3.6649 
2014-08-01T16:05:00  3.2440   3.7136 
2014-08-01T16:10:00  3.2822   3.7586 
2014-08-01T16:15:00  3.3695   3.8060 
2014-08-01T16:20:00  3.4043   3.8876 
2014-08-01T16:25:00  3.4874   3.9733 
2014-08-01T16:30:00  3.6135   4.0658 
2014-08-01T16:35:00  3.7543   4.1565 
2014-08-01T16:40:00  3.8821   4.2756 
2014-08-01T16:45:00  3.9936   4.3924 
2014-08-01T16:50:00  4.1304   4.5288 
2014-08-01T16:55:00  4.3026   4.6796 
2014-08-01T17:00:00  4.4407   4.8266 
2014-08-01T17:05:00  4.6043   4.9938 
2014-08-01T17:10:00  4.7797   5.1727 
2014-08-01T17:15:00  4.9442   5.3581 
2014-08-01T17:20:00  5.1797   5.5777 
2014-08-01T17:25:00  5.4985   5.8327 
2014-08-01T17:30:00  5.7453   6.1060 
2014-08-01T17:35:00  6.0389   6.4148 
2014-08-01T17:40:00  6.4112   6.7488 
2014-08-01T17:45:00  6.7517   7.0924 
2014-08-01T17:50:00  7.1954   7.5155 
2014-08-01T17:55:00  7.6659   7.9750 
2014-08-01T18:00:00  8.2156   8.5136 
2014-08-01T18:05:00  8.8189   9.1116 
2014-08-01T18:10:00  9.4981   9.7854 
2014-08-01T18:15:00  10.270   10.546 
2014-08-01T18:20:00  11.254   11.473 
2014-08-01T18:25:00  12.302   12.559 
2014-08-01T18:30:00  13.609   13.849 
2014-08-01T18:35:00  15.109   15.371 
2014-08-01T18:40:00  16.947   17.174 
2014-08-01T18:45:00  19.156   19.373 
2014-08-01T18:50:00  21.871   22.081 
2014-08-01T18:55:00  25.235   25.425 
2014-08-01T19:00:00  29.444   29.665 
2014-08-01T19:05:00  34.922   35.134 
2014-08-01T19:10:00  42.117   42.383 
2014-08-01T19:15:00  51.703   52.115 
2014-08-01T19:20:00  64.841   65.603 
2014-08-01T19:25:00  83.315   84.760 
2014-08-01T19:30:00  109.69   112.45 
2014-08-01T19:35:00  148.31   153.56 
2014-08-01T19:40:00  204.26   213.81 
2014-08-01T19:45:00  282.27   296.32 
2014-08-01T19:50:00  385.11   390.63 
2014-08-01T19:55:00  463.71   487.23 
2014-08-01T20:00:00  414.83   555.16 
2014-08-01T20:05:00  372.22   503.55 
2014-08-01T20:10:00  330.13   380.01 
2014-08-01T20:15:00  265.08   276.92 
2014-08-01T20:20:00  200.73   202.32 
2014-08-01T20:25:00  150.31   149.49 
2014-08-01T20:30:00  113.83   112.64 
2014-08-01T20:35:00  87.960   86.920 
